id,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,target.started,target.stopped,t_program,t,mask.started,mask.stopped,ID[아무숫자],코드: PsychoPy[1]/PsychoJS[2],지연요소: 없음[0]/키입력직후[1],date,expName,psychopyVersion,frameRate,
0,0,0,0,0,11.684629750001477,11.694746125001984,0.009259250000468455,0.016666666666666666,11.694746125001984,11.734801750004408,0,1,0,2023-02-15_22h59.40.425,PsychPyBuilder-PsychJsOnline_jjy,2022.2.4,None,
1,0,1,1,1,11.796680999999808,11.806315709000046,0.007752333003736567,0.016666666666666666,11.806315709000046,11.851582334005798,0,1,0,2023-02-15_22h59.40.425,PsychPyBuilder-PsychJsOnline_jjy,2022.2.4,None,
2,0,2,2,2,11.96047104200261,11.973022042002412,0.00871858299797168,0.016666666666666666,11.973022042002412,12.020202959000017,0,1,0,2023-02-15_22h59.40.425,PsychPyBuilder-PsychJsOnline_jjy,2022.2.4,None,
3,0,3,3,3,12.110016667000309,12.121978792005393,0.009231459000147879,0.016666666666666666,12.121978792005393,12.179655500003719,0,1,0,2023-02-15_22h59.40.425,PsychPyBuilder-PsychJsOnline_jjy,2022.2.4,None,
4,0,4,4,4,12.377689708999242,12.390058750002936,0.00852620899968315,0.016666666666666666,12.390058750002936,12.445816375002323,0,1,0,2023-02-15_22h59.40.425,PsychPyBuilder-PsychJsOnline_jjy,2022.2.4,None,
5,0,5,5,5,12.526506624999456,12.538471709005535,0.00914295800612308,0.016666666666666666,12.538471709005535,12.585011209004733,0,1,0,2023-02-15_22h59.40.425,PsychPyBuilder-PsychJsOnline_jjy,2022.2.4,None,
6,0,6,6,6,12.659575459001644,12.672042167003383,0.008733958995435387,0.016666666666666666,12.672042167003383,12.717982667003525,0,1,0,2023-02-15_22h59.40.425,PsychPyBuilder-PsychJsOnline_jjy,2022.2.4,None,
7,0,7,7,7,12.809333334000257,12.821322542004054,0.009110250000958331,0.016666666666666666,12.821322542004054,12.86859191700205,0,1,0,2023-02-15_22h59.40.425,PsychPyBuilder-PsychJsOnline_jjy,2022.2.4,None,
8,0,8,8,8,12.945050792004622,12.956919667005423,0.008640540996566415,0.016666666666666666,12.956919667005423,13.001319792005233,0,1,0,2023-02-15_22h59.40.425,PsychPyBuilder-PsychJsOnline_jjy,2022.2.4,None,
9,0,9,9,9,13.096808459005842,13.109060583999963,0.009316750001744367,0.016666666666666666,13.109060583999963,13.152010459001758,0,1,0,2023-02-15_22h59.40.425,PsychPyBuilder-PsychJsOnline_jjy,2022.2.4,None,
